,id,brand,model,model_year,milage,fuel_type,engine,transmission,ext_col,int_col,accident,clean_title,price
14748,14748,BMW,328 i,2011,111000,Gasoline,230.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,5-Speed A/T,White,Beige,At least 1 accident or damage reported,Yes,14000
37384,37384,Mercedes-Benz,GLE 350 Base 4MATIC,2022,24108,Gasoline,255.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,8-Speed A/T,White,Black,None reported,Yes,41900
31642,31642,Lexus,RX 350 F Sport Performance,2017,61454,Gasoline,295.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Gray,Black,None reported,Yes,25650
484,484,Ford,Explorer Sport,2015,94500,Gasoline,290.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Gray,Gray,None reported,Yes,29000
19117,19117,Chevrolet,Malibu LTZ,2010,800,Gasoline,252.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Beige,Beige,None reported,Yes,9400
39319,39319,Honda,Odyssey EX-L,2007,109762,Gasoline,244.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,Blue,Gray,None reported,Yes,6250
6405,6405,Mercedes-Benz,AMG G 63 4MATIC,2022,12500,Gasoline,577.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Gray,Black,None reported,Yes,85000
1173,1173,Porsche,911 GT3,2014,30000,Gasoline,475.0HP 3.8L Flat 6 Cylinder Engine Gasoline Fuel,7-Speed A/T,White,Brown,None reported,Yes,78500
43263,43263,Toyota,Avalon Limited,2007,89987,Gasoline,268.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,Green,Beige,None reported,Yes,9499
28543,28543,Chevrolet,Trailblazer SS,2020,24965,Gasoline,1.3L I3 12V GDI DOHC Turbo,Automatic CVT,Mosaic Black Metallic,Jet Black,At least 1 accident or damage reported,Yes,164725
40444,40444,Ford,F-150 XLT,2016,106000,Gasoline,365.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,White,Gray,None reported,Yes,19500
26690,26690,Acura,MDX Touring,1999,165000,Gasoline,260.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,Blue,Beige,At least 1 accident or damage reported,Yes,8000
27791,27791,Mercedes-Benz,AMG C 43 Base 4MATIC,2018,54500,Gasoline,385.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,9-Speed A/T,Gray,Black,None reported,Yes,38900
22991,22991,Subaru,Impreza WRX,2012,106000,Gasoline,265.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,5-Speed M/T,Black,Black,None reported,Yes,15000
29425,29425,BMW,M4 Base,2020,33548,Gasoline,425.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Silver,Silver,None reported,Yes,93999
29770,29770,Lexus,GX 470 Base,2004,72500,Gasoline,263.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,5-Speed A/T,Gray,Gray,At least 1 accident or damage reported,Yes,22500
20677,20677,RAM,2500 Big Horn,2014,124700,Gasoline,410.0HP 6.4L 8 Cylinder Engine Gasoline Fuel,A/T,Silver,Beige,None reported,Yes,24000
20830,20830,Toyota,Tundra Hybrid TRD Pro,2020,325,Hybrid,437.0HP 3.4L V6 Cylinder Engine Gas/Electric Hybrid,10-Speed A/T,Orange,Black,None reported,Yes,49895
33037,33037,Subaru,Impreza 2.0i Sport,2017,17500,Gasoline,152.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,Red,Black,None reported,Yes,15100
40009,40009,RAM,1500 Limited,2019,36000,Gasoline,395.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,A/T,Gray,Black,None reported,Yes,39750
39886,39886,Cadillac,Escalade Premium Luxury Platinum,2023,9978,Gasoline,420.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Red,None reported,Yes,93500
1057,1057,Mercedes-Benz,GLE 350 Base 4MATIC,2022,1500,Gasoline,255.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,9-Speed A/T,Green,Gray,None reported,Yes,149500
28250,28250,Ford,Explorer XLT,2021,72903,Gasoline,2.3L I4 16V GDI DOHC Turbo,6-Speed Automatic,Black,Sandstone,None reported,Yes,32662
44997,44997,Hyundai,Santa Fe Sport 2.0L Turbo,2018,45800,Gasoline,240.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,Silver,Black,None reported,Yes,20900
33134,33134,Scion,tC Release Series 6.0,2010,120010,Gasoline,161.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,4-Speed A/T,Gray,Black,None reported,Yes,8500
50855,50855,Alfa,Romeo Giulia Base,2017,50000,Gasoline,280.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,White,Brown,None reported,Yes,25000
50758,50758,Mercedes-Benz,AMG GLE 63 S Coupe 4MATIC,2018,71500,Gasoline,577.0HP 5.5L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,White,Black,None reported,Yes,61000
48495,48495,Cadillac,Escalade ESV Premium Luxury Platinum,2016,80581,Gasoline,420.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,White,Beige,None reported,Yes,34999
33857,33857,Mercedes-Benz,S-Class S 63 AMG,2015,73837,Gasoline,577.0HP 5.5L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,Black,Black,None reported,Yes,31650
49917,49917,Hummer,H3 Base,2007,106000,Gasoline,242.0HP 3.7L 5 Cylinder Engine Gasoline Fuel,A/T,Gray,Black,None reported,Yes,19500
8570,8570,Land,Rover Range Rover Evoque Pure,2015,86629,Gasoline,240.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,9-Speed A/T,Beige,Black,None reported,Yes,2899
37389,37389,Toyota,Highlander XLE,2019,82000,Gasoline,295.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,Silver,Gray,None reported,Yes,31000
1893,1893,Chevrolet,Camaro 1SS,2021,4048,Gasoline,420.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,6-Speed M/T,Red,Black,None reported,Yes,38500
51949,51949,BMW,328 i xDrive,2013,65000,Gasoline,240.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Silver,Black,At least 1 accident or damage reported,Yes,19000
20538,20538,Mercedes-Benz,GLC 300 GLC 300,2020,31130,Gasoline,241.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,9-Speed A/T,Black,Black,None reported,Yes,22000
16938,16938,Land,Rover Range Rover Sport HSE,2019,57918,Gasoline,340.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,White,Black,None reported,Yes,27500
25696,25696,Jeep,Grand Cherokee Limited,2020,63875,Gasoline,3.6L V6 24V MPFI DOHC,8-Speed Automatic,Granite Crystal Clearcoat Metallic,Black,None reported,Yes,33700
36143,36143,Chevrolet,Corvette Stingray w/3LT,2023,4200,Gasoline,490.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Red,None reported,Yes,154900
38928,38928,Mercedes-Benz,GLS 450 Base 4MATIC,2017,43705,Gasoline,362.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,9-Speed A/T,Gray,Black,At least 1 accident or damage reported,Yes,25900
41114,41114,Dodge,Dakota SLT Quad Cab,2003,188000,Gasoline,230.0HP 5.2L 8 Cylinder Engine Gasoline Fuel,4-Speed A/T,White,Gray,At least 1 accident or damage reported,Yes,10500
21147,21147,Mercedes-Benz,S-Class S 560 4MATIC,2018,41500,Gasoline,463.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,A/T,White,Beige,None reported,Yes,39848
16293,16293,Toyota,Tacoma PreRunner,2007,202055,Gasoline,236.0HP 4.0L V6 Cylinder Engine Gasoline Fuel,A/T,Silver,Black,At least 1 accident or damage reported,Yes,6900
23183,23183,Mercedes-Benz,CLK-Class CLK 350,2009,119000,Gasoline,268.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,Gray,Black,None reported,Yes,18000
31034,31034,Ford,F-250 Lariat,2021,44000,Diesel,475.0HP 6.7L 8 Cylinder Engine Diesel Fuel,10-Speed A/T,Gray,Black,None reported,Yes,85000
46356,46356,BMW,X5 M Base,2022,49899,Gasoline,555.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Orange,At least 1 accident or damage reported,Yes,59500
13700,13700,Porsche,911 Carrera,2020,19800,Gasoline,379.0HP 3.0L Flat 6 Cylinder Engine Gasoline Fuel,A/T,White,Black,None reported,Yes,109499
50235,50235,Dodge,Ram 1500 ST,2007,130000,Gasoline,210.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,4-Speed A/T,Beige,Beige,At least 1 accident or damage reported,Yes,7500
29775,29775,Subaru,Ascent Touring 7-Passenger,2021,32250,Gasoline,260.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,CVT Transmission,Gray,Brown,At least 1 accident or damage reported,Yes,45000
4270,4270,BMW,M4 Base,2018,19700,Gasoline,425.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,7-Speed A/T,Black,Silver,None reported,Yes,66000
38672,38672,Hummer,H3 Base,2003,118000,Gasoline,220.0HP 3.5L 5 Cylinder Engine Gasoline Fuel,A/T,Beige,Black,None reported,Yes,5900
26460,26460,Volkswagen,Jetta GLX VR6,2014,98527,Gasoline,174.0HP 2.8L V6 Cylinder Engine Gasoline Fuel,5-Speed M/T,Black,Black,None reported,Yes,14990
43226,43226,Ford,Bronco Outer Banks Advanced,2023,14700,Gasoline,275.0HP 2.3L 4 Cylinder Engine Gasoline Fuel,10-Speed A/T,Gray,Gray,None reported,Yes,91000
45282,45282,RAM,2500 Big Horn,2020,51000,Gasoline,410.0HP 6.4L 8 Cylinder Engine Gasoline Fuel,A/T,White,Black,None reported,Yes,45900
6699,6699,Dodge,Charger R/T,2014,40000,Gasoline,425.0HP 6.1L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,White,White,None reported,Yes,19500
44569,44569,INFINITI,G35 Sport,2006,120000,Gasoline,306.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Gray,Black,At least 1 accident or damage reported,Yes,13000
27375,27375,Tesla,Model X Long Range,2022,7500,Gasoline,670.0HP Electric Motor Electric Fuel System,A/T,Black,Black,None reported,Yes,110000
14535,14535,Chevrolet,Corvette Stingray w/1LT,2021,1100,Gasoline,490.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,White,Black,None reported,Yes,72900
2178,2178,Land,Rover Range Rover Velar R-Dynamic S,2021,35569,Gasoline,2.0L I4 16V GDI DOHC Turbo,Automatic,Gray,Ebony,None reported,Yes,72995
16677,16677,Dodge,Charger Base,2006,131000,Gasoline,250.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,White,Blue,None reported,Yes,8500
23244,23244,Hyundai,Genesis 4.6,2014,153332,Gasoline,378.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Blue,Black,At least 1 accident or damage reported,Yes,10000
42537,42537,Mazda,CX-5 Grand Touring,2019,62377,Gasoline,2.5L I4 16V GDI DOHC,6-Speed Automatic,Jet Black Mica,Black,None reported,Yes,32063
8256,8256,Chevrolet,Corvette Stingray w/2LT,2023,4500,Gasoline,490.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Gray,Black,None reported,Yes,92500
20822,20822,Cadillac,Escalade Sport,2018,29800,Gasoline,420.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,10-Speed A/T,White,Beige,None reported,Yes,197750
26463,26463,Kia,Sorento EX,2021,53433,Gasoline,191.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,CVT Transmission,Black,Black,None reported,Yes,33900
16909,16909,Volvo,XC70 3.2,2013,208864,Gasoline,240.0HP 3.2L Straight 6 Cylinder Engine Gasoline Fuel,6-Speed A/T,White,Beige,None reported,Yes,11000
35073,35073,Jeep,Wrangler X,2003,131000,Gasoline,190.0HP 4.0L Straight 6 Cylinder Engine Gasoline Fuel,5-Speed M/T,Black,Gold,None reported,Yes,36995
36894,36894,BMW,M550 i xDrive,2019,29500,Gasoline,456.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Blue,Black,None reported,Yes,55000
20194,20194,Lexus,RX 330 Base,2004,151896,Gasoline,230.0HP 3.3L V6 Cylinder Engine Gasoline Fuel,A/T,White,Beige,None reported,Yes,5700
17644,17644,Kia,Optima LX,2011,46628,Gasoline,200.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,Silver,Black,None reported,Yes,10400
47493,47493,Mercedes-Benz,CLA-Class CLA 250,2012,72329,Gasoline,208.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,Black,Gray,None reported,Yes,19550
7666,7666,BMW,M4 Base,2020,25013,Gasoline,425.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,7-Speed A/T,Blue,White,None reported,Yes,36495
16928,16928,Lincoln,Town Car Base,2004,244000,Gasoline,239.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,4-Speed A/T,Black,Beige,None reported,Yes,7700
33238,33238,Ford,Explorer XLT,2021,51902,Gasoline,300.0HP 2.3L 4 Cylinder Engine Gasoline Fuel,10-Speed A/T,Blue,Black,None reported,Yes,29900
22950,22950,Chevrolet,Camaro 2SS,2018,7458,Gasoline,455.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Silver,Black,None reported,Yes,44850
6908,6908,Volvo,XC90 T6 Momentum,2018,98000,Gasoline,316.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,8-Speed A/T,Silver,Black,At least 1 accident or damage reported,Yes,30500
46493,46493,Porsche,911 Turbo S,2019,31000,Gasoline,580.0HP 3.8L Flat 6 Cylinder Engine Gasoline Fuel,7-Speed A/T,White,Beige,None reported,Yes,179900
47349,47349,BMW,M3 Base,2015,14269,Gasoline,425.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Gray,Black,None reported,Yes,80000
38128,38128,Ford,Expedition EL King Ranch,2015,98000,E85 Flex Fuel,310.0HP 5.4L 8 Cylinder Engine Flex Fuel Capability,A/T,White,Red,None reported,Yes,23800
8709,8709,Genesis,G70 2.0T,2023,2046,Gasoline,252.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,8-Speed A/T,White,Gray,None reported,Yes,34000
11590,11590,Chevrolet,Camaro 1LT,2017,89000,Gasoline,323.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,A/T,White,Black,At least 1 accident or damage reported,Yes,31500
13622,13622,Kia,Stinger GT2,2019,69100,Gasoline,365.0HP 3.3L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Black,None reported,Yes,29999
2604,2604,Ford,Mustang GT Premium,2015,66500,Gasoline,435.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,6-Speed M/T,Red,Black,At least 1 accident or damage reported,Yes,22000
2029,2029,Dodge,Challenger SRT Hellcat,2020,50000,Gasoline,707.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Black,None reported,Yes,67000
43452,43452,Lexus,RX 350 Base,2017,72150,Gasoline,295.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,White,Gray,None reported,Yes,29995
36161,36161,Cadillac,Escalade ESV Premium Luxury Platinum,2021,14353,Gasoline,420.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,A/T,Black,Black,None reported,Yes,349950
7121,7121,Audi,A3 2.0T Premium,2012,91545,Gasoline,200.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,Silver,Black,At least 1 accident or damage reported,Yes,9995
40245,40245,BMW,X5 xDrive50i,2011,110000,Gasoline,400.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,White,Black,None reported,Yes,7000
25744,25744,Land,Rover Range Rover P530 SE SWB,2023,2800,Gasoline,523.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,White,Black,None reported,Yes,44400
16135,16135,BMW,M4 Base,2020,40000,Gasoline,425.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Black,None reported,Yes,65999
5320,5320,Mazda,Protege DX,1993,94200,–,–,6-Speed M/T,Gray,–,At least 1 accident or damage reported,Yes,10000
18293,18293,BMW,X5 M50i,2008,21800,Gasoline,523.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Black,None reported,Yes,165000
32609,32609,Ford,Transit Connect XL,2018,71000,E85 Flex Fuel,169.0HP 2.5L 4 Cylinder Engine Flex Fuel Capability,A/T,White,Beige,At least 1 accident or damage reported,Yes,18700
34599,34599,Ford,Expedition Max Limited,2022,15000,Gasoline,375.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,Gray,Gray,None reported,Yes,36969
53435,53435,Ford,Mustang Base,2008,119000,Gasoline,210.0HP 4.0L V6 Cylinder Engine Gasoline Fuel,A/T,White,Black,None reported,Yes,14500
10405,10405,Toyota,Tundra SR5,2016,68200,Gasoline,381.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,Black,Gray,At least 1 accident or damage reported,Yes,37000
13150,13150,Kia,Optima LX,2016,113500,Gasoline,185.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,A/T,Black,Black,None reported,Yes,18900
19986,19986,RAM,1500 Classic Warlock,2018,26177,Gasoline,5.7L V8 16V MPFI OHV,Automatic,Diamond Black,Diesel Gray / Black,None reported,Yes,44791
6134,6134,Audi,SQ5 3.0T Premium Plus,2016,60000,Gasoline,354.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,A/T,Blue,Black,At least 1 accident or damage reported,Yes,24000
36725,36725,Mercedes-Benz,CLK-Class CLK 350,2009,117000,Gasoline,268.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Black,At least 1 accident or damage reported,Yes,12000
6319,6319,Mercedes-Benz,AMG C 43 Base 4MATIC,2017,1295,Gasoline,362.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,7-Speed A/T,Silver,Black,None reported,Yes,35999
26477,26477,Ford,F-250 Lariat,2019,61000,Diesel,450.0HP 6.7L 8 Cylinder Engine Diesel Fuel,A/T,Gray,Black,None reported,Yes,65000
25435,25435,Ford,Expedition Limited,2021,23842,Gasoline,3.5L V6 24V PDI DOHC Twin Turbo,10-Speed Automatic,Agate Black Metallic,Black,None reported,Yes,62479
12322,12322,RAM,1500 Limited,2021,70968,Gasoline,395.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Black,None reported,Yes,41100
19413,19413,Toyota,Tundra SR5 Access Cab,2005,229450,Gasoline,240.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,A/T,White,Beige,None reported,Yes,3500
41939,41939,Ford,Mustang GT,2008,105500,Gasoline,412.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,6-Speed M/T,Silver,Black,None reported,Yes,13500
38032,38032,BMW,X3 xDrive30i,2020,40000,Gasoline,248.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,Black,White,None reported,Yes,95000
30192,30192,Jeep,Compass Sport,2010,109000,Gasoline,158.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,Blue,Gray,At least 1 accident or damage reported,Yes,7600
52958,52958,Chevrolet,Avalanche 1500 LT,2012,186268,E85 Flex Fuel,320.0HP 5.3L 8 Cylinder Engine Flex Fuel Capability,6-Speed A/T,Red,Beige,None reported,Yes,14000
16440,16440,GMC,Sierra 1500 SLT,2012,99000,Gasoline,355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,A/T,Black,Black,None reported,Yes,5000
42572,42572,INFINITI,QX80 Base,2016,106000,Gasoline,400.0HP 5.6L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,Black,Beige,None reported,Yes,40000
29435,29435,Jaguar,XF Luxury,2013,106000,Gasoline,385.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,A/T,White,Beige,None reported,Yes,15000
38909,38909,Lincoln,MKZ Base,2013,68200,Gasoline,300.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,Black,Black,None reported,Yes,15500
21299,21299,Honda,S2000 Base,2002,110500,Gasoline,240.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,Yellow,Black,None reported,Yes,27000
1770,1770,BMW,300 Touring,2009,135000,Gasoline,248.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,White,Beige,None reported,Yes,21500
44107,44107,Mercury,Marauder Base,2006,100000,Gasoline,302.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,A/T,Silver,Black,None reported,Yes,9500
48659,48659,RAM,1500 Rebel,2019,63875,Hybrid,395.0HP 5.7L 8 Cylinder Engine Gasoline/Mild Electric Hybrid,8-Speed A/T,Gray,Black,None reported,Yes,27500
22844,22844,Porsche,Macan S,2022,7100,Gasoline,375.0HP 2.9L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Blue,Beige,None reported,Yes,54000
50936,50936,Chevrolet,Corvette Base,2013,141775,Gasoline,400.0HP 6.0L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Black,None reported,Yes,26999
17000,17000,Audi,A4 2.0T Premium,2012,110000,Gasoline,211.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,White,Black,None reported,Yes,7000
20959,20959,BMW,X5 xDrive35i,2013,135000,Gasoline,300.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Black,At least 1 accident or damage reported,Yes,12433
181,181,Audi,S4 3.0T Premium Plus,2018,72865,Gasoline,349.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Gray,Black,None reported,Yes,54900
43750,43750,Chevrolet,Corvette Base,2006,140000,Gasoline,350.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,A/T,Black,Black,None reported,Yes,8995
7151,7151,Chevrolet,Camaro 2SS,2010,130000,Gasoline,426.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,Black,Black,At least 1 accident or damage reported,Yes,5000
25719,25719,Porsche,911 Carrera,2018,52744,Gasoline,350.0HP 3.4L Flat 6 Cylinder Engine Gasoline Fuel,7-Speed A/T,Black,Brown,None reported,Yes,20997
15966,15966,Honda,S2000 CR,2008,44300,Gasoline,237.0HP 2.2L 4 Cylinder Engine Gasoline Fuel,M/T,Yellow,Black,None reported,Yes,33000
8418,8418,Mercedes-Benz,C-Class C 300 4MATIC Sport,2017,41515,Gasoline,228.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,A/T,Black,Black,None reported,Yes,26999
46113,46113,Audi,Q5 2.0T Premium Plus,2019,22300,Gasoline,248.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,White,Black,None reported,Yes,54995
43017,43017,Toyota,Highlander Hybrid Limited Platinum,2019,13828,Hybrid,306.0HP 3.5L V6 Cylinder Engine Gas/Electric Hybrid,CVT Transmission,Blue,Black,None reported,Yes,34900
27953,27953,Lexus,RX 330 Base,2008,145565,Gasoline,230.0HP 3.3L V6 Cylinder Engine Gasoline Fuel,A/T,White,Beige,At least 1 accident or damage reported,Yes,4000
32401,32401,Lexus,IS 250 Base,2007,148000,Gasoline,204.0HP 2.5L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,White,Black,At least 1 accident or damage reported,Yes,9995
28028,28028,Jeep,4Runner Limited,1997,206000,Gasoline,190.0HP 4.0L Straight 6 Cylinder Engine Gasoline Fuel,A/T,Black,Black,At least 1 accident or damage reported,Yes,15900
22325,22325,BMW,M5 Base,2015,96000,Gasoline,560.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,White,Black,At least 1 accident or damage reported,Yes,33995
19116,19116,BMW,650 i,2016,85500,Gasoline,360.0HP 4.8L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Black,None reported,Yes,36800
41336,41336,Kia,Optima LX,2019,62660,Gasoline,185.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,5-Speed A/T,Black,Black,None reported,Yes,18500
43307,43307,Volvo,S60 Recharge Plug-In Hybrid T8 Inscription,2021,10500,Plug-In Hybrid,455.0HP 2.0L 4 Cylinder Engine Plug-In Electric/Gas,8-Speed A/T,Black,Beige,None reported,Yes,37500
23148,23148,Jeep,Wrangler Unlimited Sport,2016,67015,Gasoline,3.6L V6 24V MPFI DOHC,8-Speed Automatic,Granite Crystal Clearcoat Metallic,Black,None reported,Yes,21590
5419,5419,Porsche,Cayman Base,2016,10431,Gasoline,275.0HP 2.7L Flat 6 Cylinder Engine Gasoline Fuel,7-Speed A/T,Red,Gray,At least 1 accident or damage reported,Yes,35999
25375,25375,Chevrolet,Camaro 2SS,2016,39000,Gasoline,455.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,6-Speed M/T,Orange,Black,None reported,Yes,39900
51272,51272,INFINITI,QX70 Base,2015,89563,Gasoline,325.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,7-Speed A/T,Red,Black,None reported,Yes,26000
27735,27735,Ford,Mustang V6,2010,123000,Gasoline,300.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,Black,Black,None reported,Yes,10999
5593,5593,Chevrolet,Express 2500 Work Van,2017,56000,E85 Flex Fuel,324.0HP 6.0L 8 Cylinder Engine Flex Fuel Capability,A/T,Blue,Gray,None reported,Yes,15999
43372,43372,Land,Rover Discovery HSE LUXURY,2004,141800,Gasoline,340.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,A/T,Black,Beige,None reported,Yes,4200
20776,20776,Mercedes-Benz,AMG C 63 S,2017,54293,Gasoline,503.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,Gray,Black,At least 1 accident or damage reported,Yes,52000
19769,19769,Jeep,Gladiator Overland,2020,7388,Gasoline,3.6L V6 24V MPFI DOHC,8-Speed Automatic,Firecracker Red Clearcoat,Black,None reported,Yes,31950
6337,6337,Porsche,Macan S,2016,50000,Gasoline,340.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,7-Speed A/T,Gray,Black,None reported,Yes,75000
40525,40525,BMW,M4 Base,2015,19300,Gasoline,425.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,6-Speed M/T,White,Silver,None reported,Yes,29000
43867,43867,Ford,F-250 XLT,2018,32000,Diesel,450.0HP 6.7L 8 Cylinder Engine Diesel Fuel,10-Speed A/T,White,Beige,None reported,Yes,75000
36182,36182,GMC,Sierra 1500 SLE Crew Cab,2006,167500,Gasoline,295.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,4-Speed A/T,Silver,Black,At least 1 accident or damage reported,Yes,6500
22342,22342,Nissan,Versa 1.8 S,2011,30000,Gasoline,122.0HP 1.8L 4 Cylinder Engine Gasoline Fuel,A/T,Black,–,At least 1 accident or damage reported,Yes,9200
40951,40951,Ford,Mustang GT Premium,2021,20500,Gasoline,460.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,10-Speed A/T,Gray,Black,None reported,Yes,82000
